name,recclass,mass (g),year,reclat,reclong
Aachen,L5,21,1880,50.775,6.08333
Aarhus,H6,720,1951,56.18333,10.23333
Abee,EH4,107000,1952,54.21667,-113
Acapulco,Acapulcoite,1914,1976,16.88333,-99.9
Achiras,L6,780,1902,-33.16667,-64.95
Adhi Kot,EH4,4239,1919,32.1,71.8
Adzhi-Bogdo (stone),LL3-6,910,1949,44.83333,95.16667
Agen,H5,30000,1814,44.21667,0.61667
Aguada,L6,1620,1930,-31.6,-65.23333
Aguila Blanca,L,1440,1920,-30.86667,-64.55
Aioun el Atrouss,Diogenite-pm,1000,1974,16.39806,-9.57028
Aïr,L6,24000,1925,19.08333,8.38333
Akaba,L6,779,1949,29.51667,35.05
Akbarpur,H4,1800,1838,29.71667,77.95
Akwanga,H,3000,1959,8.91667,8.43333
Akyumak,"Iron, IVA",50000,1981,39.91667,42.81667
Al Rais,CR2-an,160,1957,24.41667,39.51667
Al Zarnkh,LL5,700,2001,13.66033,28.96
Alais,CI1,6000,1806,44.11667,4.08333
Albareto,L/LL4,2000,1766,44.65,11.01667
Alberta,L,625,1949,2,22.66667
Alby sur Chéran,Eucrite-mmict,252,2002,45.82133,6.01533
Aldsworth,LL5,700,1835,51.78333,-1.78333
Aleppo,L6,3200,1873,36.23333,37.13333
Alessandria,H5,908,1860,44.88333,8.75
Alexandrovsky,H4,9251,1900,50.95,31.81667
Alfianello,L6,228000,1883,45.26667,10.15
Allegan,H5,32000,1899,42.53333,-85.88333
Allende,CV3,2000000,1969,26.96667,-105.31667
Almahata Sitta,Ureilite-an,3950,2008,20.74575,32.41275
Alta'ameem,LL5,6000,1977,35.27333,44.21556
Ambapur Nagla,H5,6400,1895,27.66667,78.25
Andhara,Stone-uncl,2700,1880,26.58333,85.56667
Andover,L6,3200,1898,44.61667,-70.75
Andreevka,L3,600,1969,48.7,37.5
Andura,H6,17900,1939,20.88333,76.86667
Angra dos Reis (stone),Angrite,1500,1869,-22.96667,-44.31667
Ankober,H4,6500,1942,9.53333,39.71667
Anlong,H5,2500,1971,25.15,105.18333
Aomori,L6,320,1984,40.81056,140.78556
Appley Bridge,LL6,15000,1914,53.58333,-2.71667
Apt,L6,3200,1803,43.86667,5.38333
Arbol Solo,H5,810,1954,-33,-66
Archie,H6,5070,1932,38.5,-94.3
Arroyo Aguiar,H5,7450,1950,-31.41667,-60.66667
Asco,H6,41,1805,42.45,9.03333
Ash Creek,L6,9500,2009,31.805,-97.01
Ashdon,L6,1300,1923,52.05,0.3
Assisi,H5,2000,1886,43.03333,12.55
Atarra,L4,1280,1920,25.25417,80.625
Atemajac,L6,94.2,1896,20.06667,-103.66667
Athens,LL6,265,1933,34.75,-87
Atoka,L6,1384.2,1945,34.31667,-96.15
Aubres,Aubrite,800,1836,44.38333,5.16667
Aumale,L6,50000,1865,36.16667,3.66667
Aumieres,L6,2000,1842,44.33333,3.23333
Ausson,L5,50000,1858,43.08333,0.58333
Avanhandava,H4,9330,1952,-21.46028,-49.95083
Avce,"Iron, IIAB",1230,1908,46,13.5
Avilez,H,146,1855,25,-103.5
Awere,L4,134,1968,2.71667,32.83333
Aztec,L6,2830,1938,36.8,-108
Bachmut,L6,18000,1814,48.6,38
Bahjoi,"Iron, IAB-sLL",10322,1934,28.48333,78.5
Bald Mountain,L4,3700,1929,35.96667,-82.48333
Baldwyn,L6,345,1922,34.5,-88.66667
Bali,CV3,1000,1907,5.38333,16.38333
Ban Rong Du,"Iron, ungrouped",16700,1993,16.66667,101.18333
Bandong,LL6,11500,1871,-6.91667,107.6
Bansur,L6,15000,1892,27.7,76.33333
Banswal,L5,14,1913,30.4,78.2
Banten,CM2,629,1933,-6.33333,106
Barbotan,H5,6400,1790,43.95,-0.05
Barea,Mesosiderite-A1,3200,1842,42.38333,-2.5
Barnaul,H5,23.2,1904,52.73333,84.08333
Barntrup,LL4,17,1886,52,9.1
Baroti,L6,4500,1910,31.61667,76.8
Barwell,L5,44000,1965,52.56528,-1.33972
Bassikounou,H5,29560,2006,15.78333,-5.9
Baszkówka,L5,15500,1994,52.03333,20.93583
Bath,H4,21000,1892,45.41667,-98.31667
Bath Furnace,L6,86000,1902,38.25,-83.75
Battle Mountain,L6,2900,2012,40.66813,-117.18913
Bawku,LL5,1557,1989,11.08333,-0.18333
Baxter,L6,611,1916,36.75,-93.5
Beardsley,H5,16000,1929,39.8,-101.2
Beaver Creek,H5,14000,1893,51.16667,-117.33333
Beddgelert,H5,794,1949,53.01667,-4.1
Bells,C2-ung,375,1961,33.6,-96.46667
Benares (a),LL4,3700,1798,25.36667,82.91667
Benguerir,LL6,25000,2004,32.25,-8.15
Beni M'hira,L6,19000,2001,32.86667,10.8
Benld,H6,1770.5,1938,39.08333,-89.15
Benoni,H6,3880,1943,-26.16667,28.41667
Bensour,LL6,45000,2002,30,-7
Benton,LL6,2840,1949,45.95,-67.55
Berduc,L6,270,2008,-31.91,-58.32833
Béréba,Eucrite-mmict,18000,1924,11.65,-3.65
Berlanguillas,L6,1440,1811,41.68333,-3.8
Berthoud,Eucrite-mmict,960,2004,40.30583,-105.02325
Bethlehem,H,13.9,1859,42.53333,-73.83333
Beuste,L5,2000,1859,43.21667,-0.23333
Beyrout,LL3.8,1100,1921,33.88333,35.5
Bhagur,L6,18,1877,20.88333,74.83333
Bhawad,LL6,678,2002,26.50833,73.11528
Bherai,L6,100,1893,20.83333,71.46667
Bhola,LL3-6,1047,1940,22.68333,90.65
Bholghati,Howardite,2500,1905,22.08333,86.9
Bialystok,Eucrite-pmict,4000,1827,53.1,23.2
Bielokrynitschie,H4,1900,1887,50.13333,27.16667
Bilanga,Diogenite,25000,1999,12.45,-0.08333
Binningup,H5,488.1,1984,-33.15639,115.67639
Birni N'konni,H4,560,1923,13.76667,5.3
Bishopville,Aubrite,6000,1843,34.16667,-80.28333
Bishunpur,LL3.15,1039,1895,25.38333,82.6
Bjelaja Zerkov,H6,1850,1796,49.78333,30.16667
Bjurböle,L/LL4,330000,1899,60.4,25.8
Black Moshannan Park,L5,705,1941,40.91667,-78.08333
Blackwell,L5,2381,1906,36.83333,-97.33333
Blanket,L6,5100,1909,31.83333,-98.83333
Blansko,H6,470,1833,49.36667,16.63333
Bloomington,LL6,67.8,1938,40.48,-89.00417
Bo Xian,LL3.9,7500,1977,33.83333,115.83333
Bocas,L6,56,1804,23,-102
Bogou,"Iron, IAB-MG",8800,1962,12.5,0.7
Boguslavka,"Iron, IIAB",256000,1916,44.55,131.63333
Borgo San Donino,LL6,1676,1808,44.86667,10.05
Bori,L6,8600,1894,21.95,78.03333
Boriskino,CM2,1342,1930,54.23333,52.48333
Borkut,L5,7000,1852,48.15,24.28333
Borodino,H5,500,1812,55.46667,35.86667
Botschetschki,L4,614,1823,51.33333,33.88333
Boumdeid (2003),L6,190,2003,17.71067,-11.3715
Boumdeid (2011),L6,3599,2011,17.17493,-11.34133
Bovedy,L3,5460,1969,54.56667,-6.33333
Bradford Woods,L,762,1886,40.5,-80.08333
Braunau,"Iron, IIAB",39000,1847,50.6,16.3
Breitscheid,H5,1500,1956,50.66694,8.18361
Bremervörde,H/L3.9,7250,1855,53.4,9.1
Brient,Eucrite-pmict,219,1933,52.13333,59.31667
Bruderheim,L6,303000,1960,53.9,-112.88333
Bukhara,CV3,5300,2001,39.77978,64.60035
Bunburra Rockhole,Eucrite,324,2007,-31.35,129.19
Bununu,Howardite,357,1942,10.01667,9.58333
Bur-Gheluai,H5,120000,1919,5,48
Burnwell,H4-an,1504,1990,37.62194,-82.23722
Bursa,L6,25000,1946,40.2,29.23333
Buschhof,L6,5000,1863,46.45,25.78333
Bustee,Aubrite,1500,1852,26.78333,82.83333
Butsura,H6,29000,1861,27.08333,84.08333
Buzzard Coulee,H4,41000,2008,52.996,-109.84817
Cabezo de Mayo,L/LL6,25000,1870,37.98333,-1.16667
Cabin Creek,"Iron, IIIAB",48500,1886,35.5,-93.5
Cacak,OC,212,1919,43.83889,20.33333
Cali,H/L4,478,2007,3.405,-76.51
Calivo,Stone-uncl,2400,1916,11.75,122.33333
Campos Sales,L5,23680,1991,-7.03333,-40.16667
Çanakkale,L6,4000,1964,39.8,26.6
Cañellas,H4,945,1861,41.25,1.66667
Cangas de Onis,H5,34000,1866,43.38333,-5.15
Canon City,H6,1400,1973,38.47028,-105.24139
Cape Girardeau,H6,2300,1846,37.26667,-89.58333
Capilla del Monte,H6,750,1934,-30.88333,-64.55
Carancas,H4-5,342,2007,-16.66444,-69.04389
Castalia,H5,7300,1874,36.08333,-78.06667
Castine,L6,94,1848,44.38333,-68.75
Castrovillari,Stone-uncl,15000,1583,39.8,16.2
Caswell County,OC,1360,1810,36.5,-79.25
Ceniceros,L3.7,1025,1988,26.46667,-105.23333
Centerville,H5,45.6,1956,43.2,-96.91667
Cereseto,H5,6460,1840,45.08333,8.3
Chadong,L6,3700,1998,28.53333,109.31667
Chainpur,LL3.4,8200,1907,25.85,83.48333
Chajari,L5,18300,1933,-30.78333,-58.05
Chandakapur,L5,8800,1838,20.26667,76.01667
Chandpur,L6,1100,1885,27.28333,79.05
Changde,H5,1810,1977,29.08333,111.75
Chantonnay,L6,31500,1812,46.68333,1.05
Charlotte,"Iron, IVA",4300,1835,36.16667,-87.33333
Charsonville,H6,27000,1810,47.93333,1.56667
Charwallas,H6,12000,1834,29.48333,75.5
Chassigny,Martian (chassignite),4000,1815,47.71667,5.36667
Château-Renard,L6,30000,1841,47.93333,2.91667
Chaves,Howardite,2945,1925,41.93333,-7.46667
Chela,H4,2936,1988,-3.66667,32.5
Chelyabinsk,LL5,100000,2013,54.81667,61.11667
Chergach ,H5,100000,2007,23.69639,-5.01472
Chernyi Bor,H4,6000,1964,53.7,30.1
Cherokee Springs,LL6,8400,1933,35.03333,-81.88333
Chervettaz,L5,705,1901,46.55,6.81667
Chervony Kut,Eucrite-mmict,1700,1939,50.83333,34
Chetrinahatti,Stone-uncl,72,1880,14.5,76.5
Chiang Khan,H6,367,1981,17.9,101.63333
Chicora,LL6,303,1938,40.93333,-79.73333
Chisenga,"Iron, IIIAB",3920,1988,-10.05944,33.395
Chitenay,L6,4000,1978,47.47083,0.97667
Cilimus,L5,1600,1979,-6.95,108.1
Claxton,L6,1455,1984,32.1025,-81.87278
Colby (Wisconsin),L6,104000,1917,44.9,-90.28333
Cold Bokkeveld,CM2,5200,1838,-33.13333,19.38333
Coleman,L6,469,1994,43.76111,-84.50778
Collescipoli,H5,5000,1890,42.53333,12.61667
Conquista,H4,20350,1965,-19.85,-47.55
Cosina,H5,1200,1844,21.16667,-100.86667
Cranganore,L6,1460,1917,10.2,76.26667
Crescent,CM2,78.4,1936,35.95,-97.58333
Cronstad,H5,3650,1877,-27.7,27.3
Cross Roads,H5,167,1892,35.63333,-78.13333
Crumlin,L5,4255,1902,54.61667,-6.21667
Cumberland Falls,Aubrite,17000,1919,36.83333,-84.35
Cynthiana,L/LL4,6000,1877,38.4,-84.25
Dahmani,LL6,18000,1981,35.61667,8.83333
Dandapur,L6,5650,1878,26.91667,83.96667
Daniel's Kuil,EL6,1064,1868,-28.2,24.56667
Danville,L6,2000,1868,34.4,-87.06667
Darmstadt,H5,100,1804,49.86667,8.65
Dashoguz,H5,7000,1998,41.98444,59.685
Daule,L5,6580,2008,-1.87089,-79.95756
De Cewsville,H6,340,1887,43,-80
Deal,L6,28,1829,40.25,-74
Demina,L6,16400,1911,51.46667,84.76667
Denver,L6,230,1967,39.7825,-104.93056
Dergaon,H5,12500,2001,26.68333,93.86667
Desuri,H6,25400,1962,25.73333,73.61667
Devgaon,H3.8,12000,2001,19,81
Devri-Khera,L6,1140,1994,24.225,76.525
Dhajala,H3.8,45000,1976,22.37778,71.42722
Dharwar,OC,1800,1848,14.88333,75.6
Dhurmsala,LL6,32000,1860,32.23333,76.46667
Didim,H3-5,3396,2007,37.35172,27.32997
Diep River,L6,1000,1906,-33.75,18.56667
Distrito Quebracho,H4,400,1957,-31.88333,-60.46667
Djati-Pengilon,H6,166000,1884,-7.5,111.5
Djermaia,H,3950,1961,12.73333,15.05
Djoumine,H5-6,10000,1999,36.95,9.55
Dokachi,H5,3840,1903,23.5,90.33333
Dolgovoli,L6,1600,1864,50.75,25.3
Domanitch,L5,438,1907,40,29
Dong Ujimqin Qi,Mesosiderite,128800,1995,45.5,119.03333
Donga Kohrod,H6,230,1899,21.86667,82.45
Dongtai,LL6,5500,1970,32.91667,120.78333
Doroninsk,H5-7,3891,1805,51.2,112.3
Dosso,L6,1250,1962,13.05,3.16667
Douar Mghila,LL6,1161,1932,32.33333,-6.3
Dowa,Stone-uncl,642,1976,-13.66667,33.91667
Drake Creek,L6,5000,1827,36.4,-86.5
Dresden (Ontario),H6,47700,1939,42.52,-82.26
Dubrovnik,L3-6,1900,1951,42.45833,18.44167
Dunbogan,L6,30,1999,-31.66667,152.83333
Dundrum,H5,2270,1865,52.55,-8.03333
Durala,L6,13200,1815,30.3,76.63333
Duruma,L6,577,1853,-4,39.5
Duwun,L6,2117,1943,33.43333,127.26667
Dwaleni,H4-6,3230,1970,-27.2,31.31667
Dyalpur,Ureilite,300,1872,26.25,82
Dyarrl Island,Mesosiderite-A1,188,1933,-3,151
Eagle,EL6,10000,1947,40.78167,-96.47167
Ehole,H5,2400,1961,-17.3,15.83333
Eichstädt,H5,3000,1785,48.9,11.21667
Ekeby,H4,3336,1939,56.03333,13
Ekh Khera,H6,840,1916,28.26667,78.78333
El Idrissia,L6,10000,1989,34.41667,3.25
El Paso de Aguila,H5,17226,1977,25.37,-97.37
El Tigre,L6,5000,1993,19.96722,-103.05167
Elbert,LL6,680.5,1998,39.24667,-104.58817
Elbogen,"Iron, IID",107000,1399,50.18333,12.73333
Elenovka,L5,54640,1951,47.83333,37.66667
Ellemeet,Diogenite,1470,1925,51.75,4
Emmaville,Eucrite-mmict,127,1900,-29.46667,151.61667
Enshi,H5,8000,1974,30.3,109.5
Ensisheim,LL6,127000,1491,47.86667,7.35
Épinal,H5,277,1822,48.18333,6.46667
Erakot,CM2,113,1940,19.03333,81.89167
Erevan,Howardite,107.2,1911,40.3,44.5
Ergheo,L5,20000,1889,1.16667,44.16667
Erxleben,H6,2250,1812,52.21667,11.25
Esnandes,L6,1500,1837,46.25,-1.1
Essebi,C2-ung,500,1957,2.88333,30.83333
Estherville,Mesosiderite-A3/4,320000,1879,43.41667,-94.83333
Farmington,L5,89400,1890,39.75,-97.03333
Farmville,H4,56000,1934,35.55,-77.53333
Favars,H5,1500,1844,44.38333,2.81667
Fayetteville,H4,2360,1934,36.05,-94.16667
Feid Chair,H4,380,1875,36.88333,8.45
Felix,CO3.3,3200,1900,32.53333,-87.16667
Fenghsien-Ku,H5,82,1924,34.6,116.75
Ferguson,OC,220,1889,36.1,-81.41667
Fermo,H3-5,10200,1996,43.18111,13.75333
Fisher,L6,17600,1894,47.81667,-96.85
Florence,H3,3640,1922,30.83333,-97.76667
Forest City,H5,152000,1890,43.25,-93.66667
Forest Vale,H4,26000,1942,-33.35,146.85833
Forksville,L6,6067,1924,36.78333,-78.08333
Forsbach,H6,240,1900,50.95,7.31667
Forsyth,L6,16300,1829,33.01667,-83.96667
Frankfort (stone),Howardite,650,1868,34.48333,-87.83333
Fuhe,L5,23000,1945,31.47556,113.56694
Fukutomi,L5,11620,1882,33.18333,130.2
Futtehpur,L6,4000,1822,25.95,80.81667
Fuyang,Stone-uncl,2500,1977,32.9,115.9
Galapian,H6,132.7,1826,44.3,0.4
Galim (a),LL6,36.1,1952,7.05,12.43333
Galim (b),EH3/4-an,28,1952,7.05,12.43333
Galkiv,H4,5000,1995,51.68333,30.78333
Gambat,L6,6400,1897,27.35,68.53333
Garhi Yasin,"Iron, IIE",380,1917,27.88333,68.53333
Garland,Diogenite-pm,102,1950,41.68333,-112.13333
Gashua,L6,4162,1984,12.85,11.03333
Geidam,H5,725,1950,12.91667,11.91667
Gifu,L6,14290,1909,35.53333,136.88333
Girgenti,L6,18000,1853,37.31667,13.56667
Git-Git,L6,480,1947,9.6,9.91667
Glanerbrug,L/LL5,670,1990,52.2,6.86667
Glanggang,H5-6,1303,1939,-7.25,107.7
Glasatovo,H4,152000,1918,57.35,37.61667
Glatton,L6,767,1991,52.45972,-0.3
Gnadenfrei,H5,1750,1879,50.66667,16.76667
Gopalpur,H6,1600,1865,24.23333,89.05
Gorlovka,H3.7,3618,1974,48.28333,38.08333
Granes,L6,9000,1964,42.9,2.25
Grefsheim,L5,45.5,1976,60.66667,11
Grimsby,H5,215,2009,43.2,-79.61667
Grosnaja,CV3,3500,1861,43.66667,45.38333
Gross-Divina,H5,10500,1837,49.26667,18.71667
Grossliebenthal,L6,8000,1881,46.35,30.58333
Grüneberg,H4,1000,1841,51.93333,15.5
Grzempach,H5,690,1910,52.86667,16.63333
Gualeguaychú,H6,22000,1932,-33,-58.61667
Guangmingshan,H5,2910,1996,39.80417,122.76389
Guangrao,L6,1900,1980,37.1,118.4
Guareña,H6,39000,1892,38.73333,-6.01667
Guêa,Stone-uncl,1915,1891,43.76667,20.23333
Guibga,L5,288,1972,13.5,-0.68333
Guidder,LL5,968,1949,9.91667,13.98333
Gujargaon,H5,2449,1982,22.98333,76.05
Gujba,CBa,100000,1984,11.49167,11.65833
Gumoschnik,H5,5700,1904,42.9,24.7
Gurram Konda,L6,28,1814,13.78333,78.56667
Gursum,H4/5,34650,1981,9.36667,42.41667
Gütersloh,H3/4,1000,1851,51.91667,8.38333
Gyokukei,OC,1320,1930,35,127.5
Hainaut,H3-6,9000,1934,50.31667,3.73333
Hallingeberg,L3.4,1456,1944,57.81667,16.23333
Hamlet,LL4,3710,1959,41.38333,-86.6
Haraiya,Eucrite-mmict,1000,1878,26.8,82.53333
Haripura,CM2,315,1921,28.38333,75.78333
Harleton,L6,8360,1961,32.675,-94.51167
Harrison County,L6,680,1859,38.25,-86.16667
Hashima,H4,1110.6,1910,35.2945,136.70033
Hassi-Jekna,"Iron, IAB-sHL",1250,1890,28.95,0.81667
Hatford,Stone-uncl,29000,1628,51.65,-1.51667
Haverö,Ureilite,1544,1971,60.24556,22.06194
Hedeskoga,H5,3500,1922,55.46667,13.78333
Hedjaz,L3.7-6,6100,1910,27.33333,35.66667
Heredia,H5,1000,1857,10,-84.1
Hessle,H5,20000,1869,59.85,17.66667
Higashi-koen,H5,750,1897,33.6,130.43333
High Possil,L6,4500,1804,55.9,-4.23333
Hiroshima,H5,414,2003,34.45,132.38333
Hoima,H6,167.7,2003,1.345,31.47278
Hökmark,L4,305.5,1954,64.43333,21.2
Holbrook,L/LL6,220000,1912,34.9,-110.18333
Holetta,Stone-uncl,1415,1923,9.06667,38.41667
Homestead,L5,230000,1875,41.8,-91.86667
Honolulu,L5,2420,1825,21.3,-157.86667
Hotse,L6,180,1956,35.66667,115.5
Hoxie,OC,266.1,1963,39.35,-100.45
Hraschina,"Iron, IID",49000,1751,46.1,16.33333
Huaxi,H5,1600,2010,26.46469,106.63241
Hungen,H6,112,1877,50.3,8.91667
Hvittis,EL6,14000,1901,61.18333,22.68333
Ibbenbüren,Diogenite,2000,1870,52.28333,7.7
Ibitira,Eucrite-mmict,2500,1957,-20,-45
Ichkala,H6,3973,1936,58.2,82.93333
Idutywa,H5,3457,1956,-32.1,28.33333
Iguaracu,H5,1200,1977,-23.2,-51.83333
Ijopega,H6,7330,1975,-6.03333,145.36667
Indarch,EH4,27000,1891,39.75,46.66667
Independence,L6,880,1917,39.08333,-94.4
Inner Mongolia,L6,3000,1963,41,112
Innisfree,L5,4576,1977,53.415,-111.3375
Ipiranga,H6,7000,1972,-25.5,-54.5
Ishinga,H,1300,1954,-8.93333,33.8
Isthilart,H5,3050,1928,-31.18333,-57.95
Itapicuru-Mirim,H5,2024,1879,-3.4,-44.33333
Itqiy,EH7-an,4720,1990,26.59083,-12.95217
Ivuna,CI1,704.5,1938,-8.41667,32.43333
Jackalsfontein,L6,48000,1903,-32.5,21.9
Jajh deh Kot Lalu,EL6,973,1926,26.75,68.41667
Jalandhar,Iron,1967,1621,31,75
Jamkheir,H6,22,1866,18.75,75.33333
Jartai,L6,20500,1979,39.7,105.8
Jelica,LL6,34000,1889,43.83333,20.44167
Jesenice,L6,3667,2009,46.42137,14.05217
Jhung,L5,5900,1873,31.3,72.38333
Jiange,H5,222,1964,31.91667,104.91667
Jianshi,"Iron, IIIAB",600000,1890,30.80833,109.5
Jilin,H5,4000000,1976,44.05,126.16667
Jodiya,L5,100,2006,22.68,70.31333
Jodzie,Howardite,30,1877,55.7,24.4
Johnstown,Diogenite,40300,1924,40.35,-104.9
Jolomba,LL6,483,1974,-11.85,15.83333
Jonzac,Eucrite-mmict,5000,1819,45.43333,-0.45
Juancheng,H5,100000,1997,35.5,115.41667
Judesegeri,H6,680,1876,12.85,76.8
Jumapalo,L6,32490,1984,-7.71667,111.2
Junan,L6,950,1976,35.2,118.8
Juromenha,"Iron, IIIAB",25250,1968,38.74028,-7.27
Juvinas,Eucrite-mmict,91000,1821,44.71667,4.3
Kaba,CV3,3000,1857,47.35,21.3
Kabo,H4,13400,1971,11.85,8.21667
Kadonah,H6,89,1822,27.08333,78.33333
Kaee,H5,230,1838,27.25,79.96667
Kagarlyk,L6,1900,1908,49.86667,30.83333
Kaidun,CR2,2000,1980,15,48.3
Kainsaz,CO3.2,200000,1937,55.43333,53.25
Kakangari,K3,350,1890,12.38333,78.51667
Kakowa,L6,577,1858,45.13333,21.66667
Kalaba,H4,950,1951,-6.83333,29.5
Kalumbi,L6,4500,1879,17.83333,73.98333
Kamalpur,L6,2770,1942,26.03333,81.46667
Kamiomi,H5,448,1913,36.04167,139.95667
Kamsagar,L6,1293,1902,14.18333,75.8
Kandahar (Afghanistan),L6,299,1959,31.6,65.78333
Kangean,H5,1630,1908,-7,115.5
Kangra Valley,H5,400,1897,32.08333,76.3
Kapoeta,Howardite,11355,1942,4.7,33.63333
Kaprada,L5/6,1600,2004,20.33916,73.22329
Kaptal-Aryk,L6,3500,1937,42.45,73.36667
Karakol,LL6,3000,1840,47.21667,81.01667
Karatu,LL6,2220,1963,-3.5,35.58333
Karewar,L6,180,1949,12.9,7.15
Karkh,L6,22000,1905,27.8,67.16667
Karloowala,L6,2950,1955,31.58333,71.6
Karoonda,CK4,41730,1930,-35.08333,139.91667
Kasamatsu,H,710,1938,35.36667,136.76667
Kasauli,H4,16820,2003,29.58333,77.58333
Katagum,L6,1500,1999,11.33333,10.08333
Kavarpura,"Iron, IIE-an",6800,2006,25.14333,75.81333
Kayakent,"Iron, IIIAB",85000,1961,39.26333,31.78
Kediri,L4,3300,1940,-7.75,112.01667
Kemer,L4,5760,2008,36.54194,29.41822
Kendleton,L4,6937,1939,29.45,-96
Kendrapara,H4-5,6669.2,2003,20.4625,86.70278
Kerilis,H5,5000,1874,48.4,-3.3
Kernouve,H6,80000,1869,48.11667,-3.08333
Kesen,H4,135000,1850,38.98333,141.61667
Khairpur,EL6,13600,1873,29.53333,72.3
Khanpur,LL5,3698,1932,25.55,83.11667
Kharkov,L6,1500,1787,50.625,35.075
Kheragur,L6,450,1860,26.95,77.88333
Khetri,H6,100,1867,28.01667,75.81667
Khmelevka,L5,6109,1929,56.75,75.33333
Khohar,L3.6,9700,1910,25.1,81.53333
Khor Temiki,Aubrite,3200,1932,16,36
Kidairat,H6,100000,1983,14,28
Kiel,L6,737.6,1962,54.4,10.15
Kiffa,H5,1500,1970,16.58333,-11.33333
Kijima (1906),Stone-uncl,331,1906,36.85,138.38333
Kikino,H6,195,1809,55,34
Kilabo,LL6,19000,2002,12.76667,9.8
Kilbourn,H5,772,1911,43.58333,-89.6
Killeter,H6,140,1844,54.66667,-7.66667
Kingai,H6,67.4,1967,11.63333,24.68333
Kirbyville,Eucrite-mmict,97.7,1906,30.75,-95.95
Kisvarsány,L6,1550,1914,48.16667,22.30833
Kitchener,L6,202.6,1998,43.38333,-80.38333
Klein-Wenden,H6,3250,1843,51.6,10.8
Knyahinya,L/LL5,500000,1866,48.9,22.4
Kobe,CK4,136,1999,34.73333,135.16667
Kokubunji,L6,11510,1986,34.3,133.95
Komagome,Iron,238,1926,35.73333,139.75
Konovo,LL5,90,1931,42.51667,26.16667
Košice,H5,4300,2010,48.76367,21.17633
Krähenberg,LL5,16500,1869,49.32694,7.46472
Krasnoi-Ugol,L6,2440,1829,54.03333,40.9
Krasnyi Klyuch,H5,4000,1946,54.33333,56.08333
Krutikha,OC,845.2,1906,56.8,77
Krymka,LL3.2,50000,1946,47.83333,30.76667
Kukschin,L6,2250,1938,51.15,31.7
Kulak,L5,453.6,1961,30.73111,66.80222
Kuleschovka,L6,6000,1811,50.75,33.5
Kulp,H6,3719,1906,41.11667,45
Kunashak,L6,200000,1949,55.78333,61.36667
Kunya-Urgench,H5,1100000,1998,42.25,59.2
Kushiike,OC,4460,1920,37.05,138.38333
Kutais,H5,23,1977,44.51667,39.3
Kuttippuram,L6,45000,1914,10.83333,76.03333
Kuznetzovo,L6,4047,1932,55.2,75.33333
Kyushu,L6,45000,1886,32.03333,130.63333
La Bécasse,L6,2800,1879,47.08333,1.75
La Charca,OC,399,1878,20.66667,-101.28333
La Colina,H5,2000,1924,-37.33333,-61.53333
La Criolla,L6,45000,1985,-31.23333,-58.16667
Laborel,H5,3833,1871,44.28333,5.58333
Lahrauli,Ureilite,900,1955,26.78333,82.71667
L'Aigle,L6,37000,1803,48.76667,0.63333
Lakangaon,Eucrite-mmict,212.5,1910,21.86667,76.03333
Lalitpur,L6,372,1887,24.45,78.56667
Lancé,CO3.5,51700,1872,47.7,1.06667
Lancon,H6,7000,1897,43.75,5.11667
Långhalsen,L6,2300,1947,58.85,16.73333
Lanxi,L6,1282,1986,46.24167,126.19611
Lanzenkirchen,L4,7000,1925,47.75,16.23333
Laochenzhen,H5,14250,1987,33.13333,115.16667
Launton,L6,1060,1830,51.9,-1.11667
Lavrentievka,L6,800,1938,52.45,51.56667
Le Pressoir,H5,3000,1845,47.16667,0.43333
Le Teilleul,Howardite,780,1845,48.53333,-0.86667
Leedey,L6,51500,1943,35.88333,-99.33333
Leeuwfontein,L6,460,1912,-25.66667,28.36667
Leighlinbridge,L6,271.4,1999,52.66667,-6.96667
Leighton,H5,877,1907,34.58333,-87.5
Leonovka,L6,700,1900,52.26667,32.85
Les Ormes,L6,125,1857,48.35,3.25
Lesves,L6,2000,1896,50.36667,4.73333
Lichtenberg,H6,4000,1973,-26.15,26.18333
Lillaverke,H5,6862,1930,56.65,15.86667
Limerick,H5,50000,1813,52.56667,-8.78333
Linum,L6,1862,1854,52.75,12.9
Lishui,L5,498,1978,31.63333,118.98333
Lissa,L6,12800,1808,50.2,14.85
Little Piney,L5,491,1839,37.91667,-92.08333
Lixna,H4,5213,1820,56,26.43333
Lodran,Lodranite,1000,1868,29.53333,71.8
Lohawat,Howardite,40000,1994,26.96556,72.62667
Lorton,L6,329.7,2010,38.70066,-77.21163
Los Martinez,L6,25,1894,38,-0.83333
Lost City,H5,17000,1970,36.00833,-95.15
Louisville,L6,1300,1977,38.25,-85.75
Łowicz,Mesosiderite-A3,59000,1935,52,19.91667
Lua,L5,9241,1926,24.95,75.15
Lucé,L6,3500,1768,47.85,0.48333
Lumpkin,L6,340,1869,32.03333,-84.76667
Lunan,H6,2520,1980,24.8,103.3
Lundsgård,L6,11000,1889,56.21667,13.03333
Luotolax,Howardite,885,1813,61.2,27.7
Luponnas,H3-5,14000,1753,46.21667,5
Mabwe-Khoywa,L5,540,1937,19,97
Macau,H5,1500,1836,-5.2,-36.66667
Machinga,L6,93200,1981,-15.21222,35.24222
Macibini,Eucrite-pmict,1995,1936,-28.83333,31.95
Madhipura,L,1000,1950,25.91667,86.36667
Madiun,L6,400,1935,-7.75,111.53333
Madrid,L6,400,1896,40.41667,-3.71667
